age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
,management,single,tertiary,872,yes,no,105,2,-1,unknown,no
55,blue-collar,married,primary,145,no,no,59,3,5,other,no
26,blue-collar,married,primary,,yes,no,425,1,-1,unknown,no
32,entrepreneur,single,primary,-849,,yes,204,1,-1,unknown,no
61,admin.,married,unknown,4629,yes,no,181,1,92,success,yes
45,blue-collar,divorced,primary,844,no,no,1018,3,-1,unknown,yes
37,technician,single,secondary,228,yes,no,1740,2,-1,unknown,no
38,technician,single,secondary,5,no,no,98,2,-1,unknown,no
,technician,married,tertiary,1539,yes,no,441,1,56,other,yes
,blue-collar,married,secondary,2231,yes,no,272,3,-1,unknown,
48,admin.,married,secondary,364,yes,no,159,2,-1,unknown,no
57,management,married,secondary,82,no,yes,140,1,-1,unknown,no
33,self-employed,single,tertiary,2155,no,no,295,1,-1,unknown,no
36,retired,single,secondary,11,yes,yes,314,1,-1,unknown,no
54,technician,divorced,secondary,784,yes,yes,579,1,-1,unknown,no
41,blue-collar,married,primary,-516,no,yes,554,3,-1,unknown,no
63,retired,married,secondary,415,yes,no,323,1,-1,unknown,no
48,management,married,tertiary,5887,no,no,227,2,-1,unknown,no
48,services,married,secondary,1355,no,no,134,2,-1,unknown,no
56,admin.,married,secondary,16873,no,no,223,1,-1,unknown,no
51,blue-collar,divorced,secondary,23,yes,no,134,1,170,failure,
31,services,married,secondary,338,yes,no,155,1,-1,unknown,no
29,technician,married,secondary,444,yes,no,130,4,-1,unknown,no
41,management,married,secondary,,no,yes,630,3,-1,unknown,no
32,technician,single,tertiary,36,no,no,164,2,-1,unknown,no
37,management,married,tertiary,,no,no,268,2,182,success,yes
42,entrepreneur,divorced,tertiary,2,yes,no,380,1,-1,unknown,no
31,management,single,tertiary,6248,yes,no,154,2,-1,unknown,no
41,services,married,tertiary,412,yes,no,154,5,-1,unknown,no
56,retired,married,secondary,344,yes,no,221,1,-1,unknown,no
54,management,divorced,tertiary,3222,no,no,67,2,-1,unknown,no
41,blue-collar,divorced,secondary,174,yes,no,367,2,297,other,no
40,technician,single,secondary,591,no,yes,87,6,-1,unknown,no
50,blue-collar,divorced,primary,388,no,no,701,1,-1,unknown,no
40,unemployed,married,secondary,219,yes,no,204,2,196,failure,no
27,admin.,divorced,secondary,451,yes,no,652,1,-1,unknown,yes
60,retired,married,primary,5,no,no,63,2,-1,unknown,no
28,admin.,single,secondary,177,yes,yes,150,1,-1,unknown,no
52,services,married,secondary,657,no,no,398,2,460,failure,yes
37,management,married,tertiary,1315,no,no,224,1,-1,unknown,yes
51,blue-collar,married,primary,1466,yes,no,406,2,-1,unknown,no
41,technician,single,secondary,879,no,yes,60,4,-1,unknown,no
,blue-collar,single,primary,293,yes,no,521,2,-1,unknown,no
38,admin.,married,secondary,424,yes,no,279,1,-1,unknown,no
,blue-collar,married,secondary,1831,yes,no,203,2,-1,unknown,
39,blue-collar,married,primary,111,no,no,201,2,-1,unknown,
,blue-collar,married,primary,455,yes,no,372,3,-1,unknown,no
27,services,single,secondary,-195,yes,no,391,1,-1,unknown,yes
32,management,single,tertiary,3616,no,no,165,2,-1,unknown,no
57,blue-collar,married,secondary,1493,no,no,231,5,-1,unknown,
41,unknown,single,tertiary,1567,no,no,291,2,-1,unknown,no
41,admin.,married,tertiary,5426,yes,no,149,2,-1,unknown,no
30,admin.,single,tertiary,261,,no,233,1,137,failure,no
36,blue-collar,divorced,secondary,2843,no,no,473,1,182,success,no
31,unemployed,,primary,46,no,no,736,1,-1,unknown,yes
36,blue-collar,married,secondary,,,no,337,1,-1,unknown,no
38,management,single,tertiary,493,yes,no,553,1,367,failure,
49,technician,married,secondary,5996,no,no,345,2,-1,unknown,no
57,services,single,primary,3777,yes,no,65,2,-1,unknown,
,management,single,secondary,524,no,no,9,1,-1,unknown,no
32,management,single,tertiary,574,,no,259,2,145,failure,no
37,blue-collar,married,secondary,427,yes,yes,371,3,-1,unknown,no
33,self-employed,married,tertiary,483,yes,no,280,2,-1,unknown,no
56,unemployed,married,primary,3391,no,no,243,1,-1,unknown,yes
27,housemaid,married,primary,,yes,no,435,3,-1,unknown,no
21,student,single,secondary,2488,no,no,258,6,169,success,yes
58,management,married,tertiary,1517,yes,no,7,5,-1,unknown,
32,self-employed,married,secondary,217,yes,yes,317,5,-1,unknown,no
33,blue-collar,single,secondary,22,no,no,76,2,207,failure,no
25,student,single,secondary,331,no,no,170,4,-1,unknown,yes
25,technician,single,secondary,55,no,yes,386,2,-1,unknown,yes
30,services,married,secondary,188,yes,no,83,2,-1,unknown,no
22,admin.,single,secondary,4111,no,yes,65,1,-1,unknown,no
39,blue-collar,married,primary,52,no,no,69,1,-1,unknown,no
46,management,divorced,tertiary,25,no,no,564,2,-1,unknown,no
31,admin.,divorced,secondary,189,yes,no,588,1,-1,unknown,
45,blue-collar,married,primary,419,no,no,113,4,-1,unknown,no
32,technician,married,secondary,2693,yes,no,16,1,-1,unknown,no
36,blue-collar,married,secondary,-231,no,yes,779,2,-1,unknown,no
51,management,single,tertiary,-55,yes,no,281,2,266,failure,no
,self-employed,single,tertiary,462,,no,1877,3,-1,unknown,yes
,unemployed,single,secondary,119,no,no,51,1,-1,unknown,no
45,technician,single,secondary,586,no,yes,32,3,-1,unknown,no
32,blue-collar,single,secondary,228,no,no,176,1,288,failure,no
,retired,divorced,tertiary,4659,no,no,161,1,-1,unknown,yes
41,blue-collar,married,primary,168,yes,no,187,3,-1,unknown,no
37,blue-collar,married,primary,,yes,no,24,1,-1,unknown,no
43,blue-collar,married,unknown,-715,yes,no,,3,-1,unknown,no
48,admin.,married,unknown,,yes,no,85,1,168,failure,no
27,technician,single,secondary,769,yes,no,317,2,-1,unknown,
33,management,single,tertiary,,no,no,236,10,-1,unknown,no
29,admin.,single,secondary,428,yes,yes,54,1,345,failure,no
,management,single,tertiary,,no,no,71,1,-1,unknown,no
52,management,married,tertiary,-97,yes,no,489,1,-1,unknown,yes
60,management,married,unknown,6313,no,no,39,2,-1,unknown,no
32,management,divorced,tertiary,948,no,no,204,2,-1,unknown,no
32,management,single,tertiary,,yes,no,455,2,-1,unknown,no
56,services,divorced,unknown,1877,yes,no,86,1,-1,unknown,no
31,management,single,tertiary,874,yes,no,190,2,-1,unknown,no
42,admin.,married,secondary,323,yes,yes,280,2,-1,unknown,no
,management,married,tertiary,16,no,yes,588,2,-1,unknown,
56,retired,married,primary,196,no,yes,45,9,-1,unknown,no
48,technician,married,secondary,1152,yes,no,168,5,-1,unknown,no
46,admin.,married,secondary,179,yes,no,194,4,436,other,no
37,technician,single,unknown,391,yes,no,103,3,-1,unknown,no
41,entrepreneur,married,unknown,89,yes,no,333,2,-1,unknown,no
36,management,single,tertiary,442,yes,yes,102,3,-1,unknown,no
45,unemployed,divorced,primary,-249,yes,yes,92,1,-1,unknown,no
55,entrepreneur,married,secondary,814,no,no,213,2,-1,unknown,no
39,technician,married,secondary,51,no,no,289,1,-1,unknown,no
,technician,divorced,secondary,38,no,no,77,2,-1,unknown,no
55,admin.,married,secondary,62,no,no,,3,90,success,yes
55,technician,married,secondary,273,yes,no,84,3,183,failure,no
27,self-employed,single,secondary,5,no,no,168,1,-1,unknown,no
,technician,married,secondary,1641,yes,no,380,1,-1,unknown,no
,blue-collar,married,tertiary,2,no,no,,1,-1,unknown,no
25,admin.,single,secondary,459,yes,no,199,2,-1,unknown,no
41,admin.,single,secondary,-256,no,yes,35,3,-1,unknown,
43,services,married,secondary,978,yes,yes,82,2,-1,unknown,no
28,management,single,tertiary,8,no,no,676,2,146,failure,yes
31,admin.,single,secondary,214,yes,no,455,1,-1,unknown,no
78,housemaid,married,secondary,499,no,no,80,4,-1,unknown,no
45,blue-collar,divorced,secondary,1269,yes,no,549,2,-1,unknown,no
48,technician,married,tertiary,31,no,no,,1,-1,unknown,
32,blue-collar,single,secondary,1143,yes,yes,412,1,-1,unknown,no
42,technician,married,secondary,298,no,no,101,3,-1,unknown,no
37,management,single,tertiary,37,no,no,253,2,-1,unknown,no
40,admin.,single,secondary,462,yes,yes,272,1,335,other,no
32,admin.,married,secondary,131,yes,no,,1,-1,unknown,no
42,management,married,tertiary,99,no,no,135,2,-1,unknown,no
43,admin.,married,secondary,-465,yes,yes,166,1,-1,unknown,no
44,admin.,married,secondary,5181,yes,yes,18,7,-1,unknown,no
37,admin.,married,secondary,176,yes,no,147,2,347,failure,no
37,unknown,married,unknown,1699,no,no,63,1,-1,unknown,no
37,admin.,married,tertiary,,yes,no,65,2,119,failure,no
28,technician,single,tertiary,172,yes,yes,194,2,-1,unknown,no
32,services,single,secondary,,no,yes,333,2,-1,unknown,no
,admin.,single,secondary,6979,yes,no,,5,-1,unknown,no
40,admin.,divorced,secondary,6,no,no,140,1,-1,unknown,no
,services,married,secondary,-62,yes,no,109,3,-1,unknown,no
,self-employed,married,tertiary,1972,yes,no,61,2,-1,unknown,no
,admin.,married,tertiary,899,yes,no,377,3,7,success,no
37,services,single,secondary,21,yes,no,96,1,271,other,no
36,technician,,secondary,23,yes,no,152,2,347,failure,
56,retired,married,secondary,-126,yes,no,382,2,-1,unknown,yes
49,blue-collar,married,primary,,yes,yes,97,6,-1,unknown,no
33,self-employed,married,secondary,215,yes,no,543,12,-1,unknown,no
30,management,single,tertiary,1372,no,no,,2,-1,unknown,no
36,services,married,secondary,1981,no,no,48,2,-1,unknown,
23,student,single,secondary,9216,no,no,471,2,-1,unknown,no
57,retired,divorced,secondary,39,yes,no,354,3,-1,unknown,no
27,blue-collar,single,secondary,5563,yes,no,435,2,-1,unknown,no
38,services,married,secondary,1,no,yes,152,2,-1,unknown,
42,technician,married,tertiary,782,no,no,285,1,-1,unknown,no
75,retired,married,secondary,3771,no,no,185,1,181,success,yes
,technician,single,tertiary,992,yes,no,301,1,88,success,no
48,technician,married,secondary,1526,no,no,273,2,-1,unknown,no
,technician,single,tertiary,2658,yes,no,768,2,141,failure,yes
39,management,divorced,tertiary,1315,,no,1337,4,126,failure,no
29,blue-collar,single,tertiary,455,no,no,403,1,-1,unknown,yes
45,technician,,tertiary,,yes,no,139,2,-1,unknown,
42,technician,married,secondary,23,yes,yes,196,1,-1,unknown,no
29,technician,married,secondary,1599,yes,no,115,1,61,failure,no
38,services,single,secondary,-196,yes,no,60,1,271,failure,no
56,retired,married,secondary,1333,no,no,17,14,-1,unknown,no
36,technician,single,secondary,9149,yes,no,141,3,-1,unknown,no
25,blue-collar,single,secondary,-35,yes,no,95,3,-1,unknown,no
38,technician,married,tertiary,432,yes,no,10,2,373,other,no
57,self-employed,married,secondary,11494,no,no,198,1,-1,unknown,no
31,management,married,tertiary,-253,no,no,220,4,-1,unknown,no
42,management,married,tertiary,372,yes,no,654,2,-1,unknown,yes
45,technician,married,secondary,141,,no,71,2,-1,unknown,no
30,blue-collar,married,secondary,975,yes,no,256,2,351,failure,no
49,blue-collar,,primary,35,yes,yes,834,10,-1,unknown,
49,services,married,secondary,4,no,no,151,3,-1,unknown,no
,retired,married,tertiary,-22,yes,no,20,3,-1,unknown,no
37,technician,married,secondary,43,yes,no,178,5,-1,unknown,no
49,blue-collar,married,primary,365,no,no,59,2,-1,unknown,no
41,self-employed,married,primary,24,no,no,111,7,-1,unknown,no
54,management,married,primary,1691,yes,no,186,1,-1,unknown,no
32,services,single,secondary,46,yes,no,227,1,-1,unknown,no
33,technician,married,secondary,-24,no,no,297,3,-1,unknown,no
33,technician,married,secondary,359,yes,no,210,1,242,other,no
36,blue-collar,married,primary,123,yes,no,9,1,-1,unknown,no
,technician,married,tertiary,,yes,yes,112,1,62,other,no
52,unknown,married,secondary,142,no,no,112,6,-1,unknown,no
40,entrepreneur,married,tertiary,3571,no,no,222,3,-1,unknown,no
44,technician,,secondary,33,yes,no,195,3,351,failure,no
45,blue-collar,single,secondary,,yes,no,768,2,91,success,no
30,student,single,secondary,396,no,no,123,1,-1,unknown,no
48,technician,divorced,secondary,2,no,no,145,3,-1,unknown,no
33,blue-collar,married,secondary,3576,yes,no,124,1,308,other,no
57,technician,married,unknown,26,yes,no,216,3,-1,unknown,no
57,housemaid,married,primary,782,no,no,69,3,-1,unknown,no
51,unemployed,married,tertiary,1634,yes,no,168,4,-1,unknown,no
,admin.,single,secondary,1,yes,no,483,7,-1,unknown,no
50,self-employed,married,tertiary,412,no,no,690,3,-1,unknown,no
44,management,married,tertiary,3762,no,no,125,12,-1,unknown,no
27,admin.,married,secondary,-247,yes,yes,344,2,-1,unknown,no
50,blue-collar,married,secondary,66,yes,no,673,2,-1,unknown,no
36,management,married,tertiary,,yes,no,60,1,250,other,no
42,management,married,secondary,-189,yes,no,247,2,-1,unknown,no
32,unemployed,single,secondary,,no,no,123,2,-1,unknown,no
42,management,married,tertiary,484,yes,no,144,2,-1,unknown,no
43,technician,married,secondary,,no,yes,9,2,172,failure,no
31,management,married,tertiary,395,yes,no,155,3,-1,unknown,no
32,management,married,tertiary,2349,no,no,134,5,-1,unknown,
55,blue-collar,divorced,primary,41,no,yes,221,2,-1,unknown,no
58,retired,married,primary,341,yes,no,84,3,265,failure,no
46,blue-collar,married,primary,222,,no,71,2,-1,unknown,no
55,blue-collar,married,secondary,989,yes,yes,246,4,-1,unknown,no
,management,married,tertiary,415,no,yes,361,2,-1,unknown,no
28,unemployed,single,secondary,16,no,no,119,4,-1,unknown,no
42,technician,divorced,tertiary,719,yes,no,375,2,-1,unknown,no
29,blue-collar,,secondary,482,no,yes,1097,3,-1,unknown,
54,housemaid,married,secondary,29,yes,yes,97,1,-1,unknown,no
32,technician,single,secondary,,no,no,181,2,-1,unknown,no
39,technician,single,tertiary,583,,no,83,3,-1,unknown,no
,entrepreneur,married,tertiary,624,no,yes,180,4,-1,unknown,no
58,technician,married,tertiary,883,no,no,543,1,78,failure,no
40,self-employed,married,secondary,1516,yes,yes,373,1,-1,unknown,no
29,student,single,secondary,872,yes,no,,1,-1,unknown,no
33,technician,,tertiary,-988,yes,yes,83,3,-1,unknown,no
38,admin.,single,secondary,92,yes,no,58,13,-1,unknown,no
56,services,divorced,secondary,17,no,no,88,6,-1,unknown,no
40,services,married,secondary,,yes,no,297,1,28,failure,no
,blue-collar,single,secondary,174,yes,yes,487,1,-1,unknown,yes
46,management,married,secondary,12186,no,no,,3,-1,unknown,no
,self-employed,married,secondary,524,yes,no,484,4,-1,unknown,no
,blue-collar,single,tertiary,,,no,262,4,-1,unknown,no
,technician,married,secondary,4,yes,no,644,1,-1,unknown,no
,housemaid,married,tertiary,11219,no,no,699,2,79,failure,
38,technician,single,tertiary,,no,no,247,2,-1,unknown,no
50,blue-collar,married,primary,5776,no,no,49,3,-1,unknown,no
51,blue-collar,divorced,primary,37,yes,no,341,1,-1,unknown,no
59,self-employed,married,tertiary,593,no,no,64,2,-1,unknown,no
32,blue-collar,married,secondary,1148,yes,no,121,1,-1,unknown,no
37,blue-collar,single,secondary,3561,yes,no,98,1,-1,unknown,no
42,admin.,divorced,secondary,63,no,no,88,6,-1,unknown,no
40,student,married,secondary,26,no,no,197,6,-1,unknown,no
28,technician,single,tertiary,2269,yes,no,331,1,-1,unknown,no
47,admin.,married,secondary,16,yes,no,83,3,-1,unknown,no
27,self-employed,married,secondary,-22,yes,no,138,2,-1,unknown,no
41,management,married,tertiary,49,yes,no,312,5,-1,unknown,no
,admin.,married,tertiary,69,no,yes,120,3,1,success,yes
50,blue-collar,married,primary,418,yes,no,526,2,-1,unknown,yes
47,blue-collar,married,secondary,48,yes,no,211,2,-1,unknown,no
,services,married,secondary,4994,no,no,62,6,-1,unknown,no
,technician,divorced,secondary,,yes,yes,135,5,-1,unknown,no
47,management,married,tertiary,3681,no,no,101,2,-1,unknown,
49,entrepreneur,divorced,unknown,-71,yes,no,988,2,-1,unknown,yes
29,management,married,tertiary,451,no,no,451,1,-1,unknown,no
45,blue-collar,divorced,primary,-311,yes,no,1030,1,-1,unknown,yes
38,entrepreneur,married,secondary,593,yes,yes,1484,24,-1,unknown,yes
32,blue-collar,married,secondary,759,yes,no,317,5,-1,unknown,yes
70,retired,divorced,primary,4531,no,no,445,1,-1,unknown,no
65,retired,divorced,primary,184,no,no,383,2,188,failure,no
56,blue-collar,married,secondary,345,yes,no,605,1,-1,unknown,no
,blue-collar,married,secondary,1287,yes,no,330,2,-1,unknown,no
56,management,married,unknown,353,no,yes,171,2,-1,unknown,no
56,technician,married,secondary,25,,yes,442,2,-1,unknown,no
49,entrepreneur,married,secondary,687,yes,no,772,1,-1,unknown,yes
38,unemployed,married,primary,1147,yes,yes,249,5,-1,unknown,no
,management,married,tertiary,4286,yes,no,,1,-1,unknown,no
38,admin.,married,tertiary,65,no,no,147,2,-1,unknown,no
49,blue-collar,married,secondary,8545,yes,yes,199,7,167,failure,no
55,management,married,unknown,559,no,no,271,2,-1,unknown,no
43,blue-collar,single,primary,2,yes,no,783,3,-1,unknown,no
43,management,married,tertiary,2,no,yes,472,2,-1,unknown,no
25,admin.,single,tertiary,76,yes,no,223,3,89,failure,yes
30,blue-collar,married,primary,1317,yes,no,395,2,-1,unknown,no
46,blue-collar,married,secondary,182,no,no,56,1,-1,unknown,no
50,admin.,married,primary,276,no,yes,641,6,-1,unknown,
,entrepreneur,married,secondary,2971,,no,429,4,164,failure,yes
26,unemployed,single,secondary,164,no,no,113,1,-1,unknown,no
45,admin.,married,unknown,1783,no,no,11,11,-1,unknown,no
37,blue-collar,married,secondary,-67,no,no,157,1,-1,unknown,no
60,self-employed,single,tertiary,179,no,yes,79,4,-1,unknown,no
38,management,married,tertiary,1199,no,no,,1,1,success,yes
47,blue-collar,married,primary,214,yes,yes,168,1,-1,unknown,no
33,technician,married,secondary,6699,no,no,425,1,462,failure,no
51,unemployed,married,secondary,176,no,yes,162,1,-1,unknown,no
,entrepreneur,single,tertiary,145,yes,no,799,2,-1,unknown,yes
,unemployed,married,secondary,978,,no,1370,3,209,success,yes
48,admin.,single,secondary,115,yes,no,357,1,-1,unknown,no
37,admin.,married,secondary,121,no,no,22,6,-1,unknown,no
29,technician,single,tertiary,828,yes,no,215,3,321,other,no
,admin.,married,secondary,244,yes,no,56,4,-1,unknown,no
32,services,married,primary,228,yes,no,1017,6,-1,unknown,yes
30,management,single,tertiary,424,no,no,298,4,-1,unknown,yes
47,management,divorced,tertiary,447,no,yes,126,1,-1,unknown,no
33,blue-collar,married,primary,-195,,no,9,1,-1,unknown,no
33,management,single,tertiary,141,yes,no,8,1,254,failure,
63,retired,married,primary,184,,no,201,1,183,success,no
51,self-employed,divorced,primary,1924,no,no,106,2,-1,unknown,no
41,management,married,tertiary,832,yes,yes,,1,176,failure,no
56,retired,married,tertiary,478,no,no,97,1,-1,unknown,no
60,management,single,tertiary,,no,yes,151,1,-1,unknown,no
41,self-employed,single,tertiary,395,yes,no,96,2,-1,unknown,no
37,management,single,unknown,54,yes,no,555,1,-1,unknown,
36,blue-collar,single,secondary,219,yes,yes,270,2,347,failure,no
57,management,married,tertiary,162,no,no,339,3,-1,unknown,no
55,management,married,primary,2587,no,no,328,2,94,success,yes
44,admin.,married,secondary,,yes,yes,159,1,-1,unknown,no
47,self-employed,married,tertiary,233,,no,323,2,364,failure,no
31,blue-collar,married,secondary,166,yes,no,342,1,-1,unknown,no
,management,married,tertiary,32,yes,no,180,1,-1,unknown,no
39,management,married,tertiary,278,no,yes,60,3,-1,unknown,no
50,management,married,tertiary,4,no,no,223,1,96,failure,no
29,management,married,tertiary,318,yes,no,1434,2,356,failure,no
30,services,single,secondary,29,yes,no,30,2,-1,unknown,no
46,services,married,secondary,271,yes,no,134,4,-1,unknown,no
27,management,single,unknown,3196,no,no,10,2,-1,unknown,no
48,admin.,divorced,secondary,499,no,no,397,2,-1,unknown,yes
26,student,single,secondary,2572,yes,no,620,1,-1,unknown,no
36,management,single,tertiary,339,no,no,6,6,-1,unknown,no
42,blue-collar,married,primary,,yes,yes,209,2,-1,unknown,no
50,housemaid,married,primary,395,yes,no,419,2,-1,unknown,no
49,blue-collar,married,secondary,239,yes,no,283,2,-1,unknown,no
45,management,married,tertiary,545,no,no,188,2,-1,unknown,no
23,student,single,secondary,78,no,no,267,1,-1,unknown,
38,technician,single,secondary,,yes,no,196,2,-1,unknown,no
32,management,single,tertiary,8436,yes,no,245,1,149,failure,no
60,technician,single,primary,11262,no,no,,1,-1,unknown,yes
30,entrepreneur,married,secondary,946,yes,no,1065,1,183,other,no
58,housemaid,married,tertiary,497,no,no,138,5,-1,unknown,no
60,retired,married,primary,55,no,no,207,1,-1,unknown,no
38,services,married,secondary,-14,no,no,456,3,-1,unknown,no
51,technician,married,secondary,-379,yes,no,261,1,-1,unknown,
42,admin.,married,secondary,-396,yes,no,80,1,308,failure,no
30,services,single,secondary,,yes,no,131,6,363,failure,no
40,management,married,primary,733,yes,no,94,7,-1,unknown,no
37,management,married,tertiary,393,yes,no,567,3,275,failure,yes
,technician,divorced,primary,729,yes,no,153,1,-1,unknown,no
27,services,single,secondary,468,yes,no,109,1,-1,unknown,no
39,blue-collar,married,secondary,,yes,no,53,1,325,failure,no
39,blue-collar,married,primary,375,yes,no,77,1,-1,unknown,
59,retired,married,tertiary,9676,no,no,234,2,-1,unknown,
37,services,married,secondary,1328,yes,no,,2,341,failure,
41,blue-collar,married,primary,8,yes,no,155,2,-1,unknown,no
45,blue-collar,married,primary,61,no,no,108,1,-1,unknown,no
48,management,married,tertiary,6613,no,no,159,3,-1,unknown,no
48,technician,married,secondary,32,,no,208,3,-1,unknown,no
32,blue-collar,married,secondary,15,no,no,215,1,-1,unknown,no
,services,,secondary,19,yes,no,597,3,-1,unknown,no
33,management,single,tertiary,124,yes,no,505,2,260,other,no
28,blue-collar,single,primary,,yes,yes,380,4,-1,unknown,no
64,retired,married,unknown,2923,no,no,120,1,-1,unknown,no
,technician,married,secondary,,no,no,106,4,-1,unknown,no
33,blue-collar,married,secondary,43,yes,no,332,2,358,failure,
41,technician,married,secondary,288,yes,no,221,4,-1,unknown,no
,admin.,married,secondary,613,yes,no,80,1,-1,unknown,no
37,technician,single,tertiary,611,no,no,60,5,87,success,no
38,blue-collar,married,primary,168,,yes,212,3,-1,unknown,no
39,blue-collar,married,primary,7685,yes,no,493,3,-1,unknown,no
,technician,divorced,tertiary,4515,yes,no,98,2,-1,unknown,no
28,blue-collar,single,secondary,517,no,yes,681,1,-1,unknown,yes
27,blue-collar,single,secondary,148,no,no,203,1,-1,unknown,no
48,retired,married,primary,-285,no,yes,157,1,-1,unknown,no
50,blue-collar,married,secondary,887,no,no,287,1,-1,unknown,no
45,self-employed,married,secondary,398,yes,no,159,2,-1,unknown,no
41,technician,married,tertiary,744,yes,no,125,1,-1,unknown,no
39,technician,married,secondary,13,no,no,202,2,-1,unknown,no
44,management,married,secondary,438,yes,no,37,3,303,failure,no
54,admin.,married,secondary,,no,no,161,1,98,failure,yes
49,management,married,tertiary,322,no,no,72,4,-1,unknown,no
,blue-collar,single,secondary,186,no,no,342,1,-1,unknown,
75,retired,divorced,tertiary,381,yes,no,262,1,183,failure,yes
42,management,married,tertiary,,no,no,325,2,-1,unknown,no
,blue-collar,married,secondary,438,no,no,223,7,-1,unknown,no
49,management,divorced,tertiary,755,no,no,1212,4,-1,unknown,yes
31,services,single,secondary,27,no,no,319,2,-1,unknown,
45,blue-collar,single,primary,999,no,no,182,2,-1,unknown,no
39,self-employed,married,secondary,167,yes,yes,,1,-1,unknown,no
46,technician,married,secondary,1322,yes,yes,514,1,-1,unknown,
42,admin.,divorced,secondary,176,yes,no,213,1,-1,unknown,no
37,management,married,tertiary,52,yes,no,551,1,351,failure,no
26,technician,single,tertiary,1216,yes,no,472,2,-1,unknown,no
37,management,single,tertiary,876,yes,no,140,4,327,failure,no
36,services,single,secondary,342,yes,no,142,1,-1,unknown,no
29,blue-collar,single,primary,95,yes,no,135,3,-1,unknown,no
36,blue-collar,married,primary,973,yes,yes,293,1,-1,unknown,no
26,technician,married,tertiary,3825,yes,no,107,1,-1,unknown,no
32,blue-collar,married,secondary,2366,yes,no,127,2,-1,unknown,no
40,management,married,tertiary,542,yes,no,1816,1,-1,unknown,no
,management,married,primary,995,no,no,200,3,-1,unknown,no
29,management,married,tertiary,2,yes,no,418,1,-1,unknown,no
,technician,single,tertiary,228,yes,no,387,4,-1,unknown,no
43,blue-collar,married,secondary,13,no,no,156,1,337,failure,no
56,management,married,tertiary,217,no,yes,121,2,-1,unknown,no
55,entrepreneur,divorced,tertiary,,no,no,108,2,-1,unknown,no
31,self-employed,married,tertiary,259,yes,no,47,1,-1,unknown,no
27,admin.,single,secondary,619,yes,no,16,5,322,other,no
36,management,married,secondary,644,yes,no,54,2,-1,unknown,no
44,management,married,tertiary,22,yes,no,,2,-1,unknown,no
37,admin.,divorced,tertiary,433,yes,no,168,1,-1,unknown,no
30,admin.,,secondary,239,yes,no,115,3,-1,unknown,no
42,technician,,secondary,275,no,no,31,8,-1,unknown,no
